fecha_update	COD_LOCAL	DESCRIPCION	INVENTARIO.u.	INVENTARIO.S.
2021-12-28	CD06	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5885	35957.35
2021-12-28	2449	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2450	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	21	128.52
2021-12-28	2451	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2452	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2453	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	12	73.44
2021-12-28	2454	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2455	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2456	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2457	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	0	0
2021-12-28	2458	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	24	146.88
2021-12-28	2459	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	16	97.92
2021-12-28	2460	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2461	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	84	514.08
2021-12-28	2462	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2463	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2464	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	7	42.84
2021-12-28	2465	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	7	42.84
2021-12-28	2466	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2467	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2468	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	9	55.08
2021-12-28	2473	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2474	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2475	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	8	48.96
2021-12-28	2476	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2477	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2478	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2479	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
