periodo	fecha_update	DESCRIPCION	COD_LOCAL	VTA_PERIODO_UNID	VALOR_VTA_PUB_PERIODO_S
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	CD06	 	 
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2449	1	9.2
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2450	4	35.15
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2451	 	 
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2452	4	36.44
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2453	3	26.88
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2454	1	9.2
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2455	5	44.54
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2456	 	 
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2457	6	54.12
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2458	1	9.2
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2459	8	70.66
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2460	5	44.2
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2461	1	8.84
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2462	1	8.84
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2463	1	8.84
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2464	4	32.8
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2465	1	9.2
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2466	 	 
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2467	8	64.36
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2468	7	57.4
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2473	5	37.41
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2474	 	 
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2475	 	 
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2476	7	50.98
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2477	1	6.75
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2478	1	7.88
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2479	3	21.76
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2480	2	14.06
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2481	4	28.61
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2482	3	22
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2483	8	55.14
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2484	5	34.03
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2485	2	14.61
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2486	 	 
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2487	2	14.61
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2488	4	34.22
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2489	2	15.28
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2490	3	22.07
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2491	2	14.92
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2492	1	7.46
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2493	3	21.45
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2494	 	 
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2495	2	14.92
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2496	4	27.85
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2497	3	21.45
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2498	4	28.91
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2499	1	6.69
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2500	3	24.93
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2501	5	38.16
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2503	3	22.07
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2504	4	33.87
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2505	13	108.66
2021-12-01	2021-12-28	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2506	1	7.15
